service_id,date,exception_type
L340,20230718,2
L340,20230719,2
L340,20230720,2
L340,20230721,2
L340,20230724,2
L340,20230725,2
L340,20230726,2
L340,20230727,2
L340,20230728,2
L340,20230731,2
L340,20230801,2
L340,20230802,2
L340,20230803,2
L340,20230804,2
L340,20230807,2
L340,20230808,2
L340,20230809,2
L340,20230810,2
L340,20230811,2
L340,20230814,2
L340,20230815,2
L340,20230816,2
L340,20230817,2
L340,20230818,2
L340,20230821,2
L340,20230822,2
L340,20230823,2
L340,20230824,2
L340,20230825,2
L340,20230828,2
L340,20230829,2
L340,20230830,2
L340,20230831,2
L340,20230901,2
L340,20230904,2
L340,20230905,2
L340,20230906,2
L340,20230907,2
L340,20230908,2
L340,20230911,2
L340,20230912,2
L340,20230913,2
L340,20230914,2
L340,20230915,2
L340,20230918,2
L340,20230919,2
L340,20230920,2
L340,20230921,2
L340,20230922,2
L340,20230925,2
L340,20230926,2
L340,20230927,2
L340,20230928,2
L340,20230929,2
L340,20231002,2
L340,20231003,2
L340,20231004,2
L340,20231005,2
L340,20231006,2
L340,20231009,2
L340,20231010,2
L340,20231011,2
L340,20231012,2
L340,20231013,2
L340,20231016,2
L340,20231017,2
L340,20231018,2
L340,20231019,2
L340,20231020,2
L340,20231101,2
L340,20231106,2
L340,20231107,2
L340,20231108,2
L340,20231109,2
L340,20231110,2
L340,20231113,2
L340,20231114,2
L340,20231115,2
L340,20231116,2
L340,20231117,2
L340,20231120,2
L340,20231121,2
L340,20231122,2
L340,20231123,2
L340,20231124,2
L340,20231127,2
L340,20231128,2
L340,20231129,2
L340,20231130,2
L340,20231201,2
L340,20231204,2
L340,20231205,2
L340,20231206,2
L340,20231207,2
L340,20231208,2
L340,20231211,2
L340,20231212,2
L340,20231213,2
L340,20231214,2
L340,20231215,2
L340,20231218,2
L340,20231219,2
L340,20231220,2
L340,20231221,2
L340,20231222,2
L340,20231225,2
N24,20230501,2
N24,20230508,2
N24,20230518,2
N24,20230529,2
N29,20230501,2
N29,20230508,2
N29,20230518,2
N29,20230529,2
N30,20230501,2
N30,20230508,2
N30,20230518,2
N30,20230529,2
N31,20230501,2
N31,20230508,2
N31,20230518,2
N31,20230529,2
N32,20230501,2
N32,20230508,2
N32,20230518,2
N32,20230529,2
N33,20230501,2
N33,20230508,2
N33,20230518,2
N33,20230529,2
N56,20230417,1
N57,20230417,1
