stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
DHAR11,,Harretxe,Saint-Pierre-d'Irube - Harretxe,43.46262300,-1.43927000,,,0,place_DHAR,0,,DHAR11,Saint-Pierre-d'Irube,DHAR11,Direction ~ Norabidea: Gare de Biarritz,64496
DHAR12,,Harretxe,Saint-Pierre-d'Irube - Harretxe,43.46257000,-1.43907000,,,0,place_DHAR,0,,DHAR12,Saint-Pierre-d'Irube,DHAR12,Direction ~ Norabidea: Bayonne Place des Basques/St-Pierre d'Irube Ametzondo,64496
HAXU01,,Harri Xuri,Saint-Pierre-d'Irube - Harri Xuri,43.45783000,-1.44941000,,,0,place_HAXU,0,,HAXU01,Saint-Pierre-d'Irube,HAXU01,Direction ~ Norabidea: St Pierre D'Irube Aturri / Bayonne Lauga/Cassin/Marrac,64496
HAXU02,,Harri Xuri,Saint-Pierre-d'Irube - Harri Xuri,43.45833500,-1.44912200,,,0,place_HAXU,0,,HAXU02,Saint-Pierre-d'Irube,HAXU02,Direction ~ Norabidea: St Pierre D'Irube Mur à gauche/Hillans / St Pierre D'Irube Bel Air,64496
HARI01,,Harritx,Biarritz - Harritx,43.45661200,-1.54407200,,,0,place_HARI,0,,HARI01,Biarritz,HARI01,Direction ~ Norabidea: Bidart Lore Lande,64122
HARI02,,Harritx,Biarritz - Harritx,43.45703500,-1.54428200,,,0,place_HARI,0,,HARI02,Biarritz,HARI02,Direction ~ Norabidea: Bayonne Place des Basques,64122
HAUS01,,Hausquette,Anglet - Hausquette,43.49740000,-1.50808600,,,0,place_HAUS,0,,HAUS01,Anglet,HAUS01,Direction ~ Norabidea: Gare de Biarritz,64024
HAUS02,,Hausquette,Anglet - Hausquette,43.49755300,-1.50678900,,,0,place_HAUS,0,,HAUS02,Anglet,HAUS02,Direction ~ Norabidea: Bayonne Place des Basques/St-Pierre d'Irube Ametzondo,64024
HTSB03,,Hauts de Bayonne,Bayonne - Hauts de Bayonne,43.50524300,-1.44580600,,,0,place_HTSB,0,,HTSB03,Bayonne,HTSB03,Direction ~ Norabidea: Mairie de Biarritz,64102
HTSB13,,Hauts de Bayonne,Bayonne - Hauts de Bayonne,43.50522500,-1.44567000,,,0,place_HTSB,0,,HTSB13,Bayonne,HTSB13,Direction ~ Norabidea: Anglet Chambre d'Amour / Stade Goni,64102
HNAV01,,Henri de Navarre,Bayonne - Henri de Navarre,43.51345800,-1.43558300,,,0,place_HNAV,0,,HNAV01,Bayonne,HNAV01,Direction ~ Norabidea: Bayonne Haut de Bayonne,64102
HNAV02,,Henri de Navarre,Bayonne - Henri de Navarre,43.51309500,-1.43548500,,,0,place_HNAV,0,,HNAV02,Bayonne,HNAV02,Direction ~ Norabidea: Anglet Chambre d'Amour,64102
HILL03,,Hillans,Saint-Pierre-d'Irube - Hillans,43.46548200,-1.44821300,,,0,place_HILL,0,,HILL03,Saint-Pierre-d'Irube,HILL03,Direction ~ Norabidea: Villefranque Mendiburua / Bayonne Place des Basques,64496
BOUL03,,Hippodrome,Biarritz - Hippodrome,43.47006700,-1.55087500,,,0,place_BOUL,0,,BOUL03,Biarritz,BOUL03,Direction ~ Norabidea: St Charles,64122
HIRA01,,Hiri Artea,Bidart - Hiri Artea,43.43919000,-1.57749700,,,0,place_HIRA,0,,HIRA01,Bidart,HIRA01,Direction ~ Norabidea: Mairie de Bidart,64125
HIRA02,,Hiri Artea,Bidart - Hiri Artea,43.43910700,-1.57746300,,,0,place_HIRA,0,,HIRA02,Bidart,HIRA02,Direction ~ Norabidea: Bayonne Technocité,64125
MURG01,,Hiriberria,Saint-Pierre-d'Irube - Hiriberria,43.46620300,-1.44094800,,,0,place_MURG,0,,MURG01,Saint-Pierre-d'Irube,MURG01,Direction ~ Norabidea: Gare de Biarritz,64496
MURG12,,Hiriberria,Saint-Pierre-d'Irube - Hiriberria,43.46621300,-1.44090000,,,0,place_MURG,0,,MURG12,Saint-Pierre-d'Irube,MURG12,Direction ~ Norabidea: Bayonne Place des Basques/St-Pierre d'Irube Ametzondo,64496
HLMH01,,HLM Hureous,Boucau - HLM Hureous,43.52777500,-1.47207200,,,0,place_HLMH,0,,HLMH01,Boucau,HLMH01,Direction ~ Norabidea: Tarnos Square Mora,64140
HLMH02,,HLM Hureous,Boucau - HLM Hureous,43.52775200,-1.47174500,,,0,place_HLMH,0,,HLMH02,Boucau,HLMH02,Direction ~ Norabidea: Boucau Lacouture,64140
HOND01,,Hondritz,Anglet - Hondritz,43.45687200,-1.50611800,,,0,place_HOND,0,,HOND01,Anglet,HOND01,Direction ~ Norabidea: Gare de Biarritz,64024
HOND02,,Hondritz,Anglet - Hondritz,43.45698700,-1.50572800,,,0,place_HOND,0,,HOND02,Anglet,HOND02,Direction ~ Norabidea: Bayonne Place des Basques,64024
