,global_efficiency,local_efficiency,average_reachability,giant_component_ratio
1102,0.13799309109187724,0.48126517966203447,1.0,1.0
2398,0.13799493110032243,0.4813334109221023,1.0,1.0
1000,0.13793774406313092,0.48164702259029984,1.0,1.0
1294,0.13798233472416768,0.4816404624269362,1.0,1.0
1275,0.13800927020693649,0.4816404624269362,1.0,1.0
644,0.1380210813044339,0.4818857408179099,1.0,1.0
1281,0.13801868370451192,0.4810885860472453,1.0,1.0
1880,0.13802246332192245,0.4810885860472453,1.0,1.0
1328,0.13791788257623672,0.4810885860472453,0.9992644355537104,0.9996320824135394
1363,0.13794076249051093,0.48170178202467967,1.0,1.0
386,0.1378921909884553,0.4818857408179099,1.0,1.0
565,0.1378212329940598,0.48146285459204363,1.0,1.0
2010,0.13799562659030526,0.4812132692293236,1.0,1.0
509,0.13797995096950616,0.4808256955612806,1.0,1.0
1006,0.13798924001244062,0.48111836985186346,1.0,1.0
1053,0.13760149671289854,0.4794825166581593,1.0,1.0
2439,0.13798665769423557,0.48127946058458204,1.0,1.0
247,0.1379862027704624,0.4813039884236794,1.0,1.0
